Cell_ID,x,y
E16_E2S6_119,4217.0,2601.0
E16_E2S6_147,4212.0,2633.0
E16_E2S6_164,4217.0,2499.0
E16_E2S6_193,4205.0,2705.0
E16_E2S6_199,4205.0,2536.0
E16_E2S6_203,4207.0,2674.0
E16_E2S6_217,4203.0,2402.0
E16_E2S6_222,4199.0,2576.0
E16_E2S6_230,4196.0,2641.0
E16_E2S6_234,4187.0,2730.0
E16_E2S6_237,4186.0,2374.0
E16_E2S6_252,4187.0,2788.0
E16_E2S6_259,4191.0,2258.0
E16_E2S6_277,4177.0,2826.0
E16_E2S6_294,4180.0,2627.0
E16_E2S6_300,4177.0,2877.0
E16_E2S6_307,4170.5,2913.0
E16_E2S6_308,4178.0,2458.0
E16_E2S6_314,4170.0,2935.0
E16_E2S6_315,4175.0,2417.0
E16_E2S6_321,4172.0,2570.0
E16_E2S6_325,4170.0,2707.0
E16_E2S6_334,4166.0,2408.0
E16_E2S6_337,4168.0,2739.0
E16_E2S6_338,4168.0,2483.0
E16_E2S6_343,4167.0,2385.0
E16_E2S6_357,4165.0,2318.0
E16_E2S6_385,4157.0,2965.0
E16_E2S6_404,4139.0,1768.5
E16_E2S6_413,4146.0,2236.0
E16_E2S6_418,4139.0,2137.0
E16_E2S6_425,4136.0,3001.0
E16_E2S6_430,4145.0,2726.0
E16_E2S6_431,4143.0,2418.0
E16_E2S6_438,4143.0,2282.0
E16_E2S6_456,4136.0,2049.0
E16_E2S6_457,4135.0,1975.0
E16_E2S6_461,4135.0,2866.0
E16_E2S6_467,4130.0,2027.0
E16_E2S6_483,4123.0,2541.0
E16_E2S6_499,4123.0,2281.0
E16_E2S6_500,4120.0,2111.0
E16_E2S6_502,4123.0,1755.0
E16_E2S6_505,4122.0,2651.0
E16_E2S6_513,4117.0,1872.0
E16_E2S6_540,4119.0,2449.0
E16_E2S6_543,4106.0,3058.0
E16_E2S6_551,4109.0,1738.0
E16_E2S6_566,4104.0,2633.0
E16_E2S6_567,4102.0,2155.0
E16_E2S6_577,4099.0,2321.0
E16_E2S6_614,4091.0,2591.0
E16_E2S6_615,4091.0,2178.0
E16_E2S6_616,4090.0,1961.0
E16_E2S6_621,4089.0,2831.0
E16_E2S6_623,4088.0,2280.0
E16_E2S6_630,4089.0,2963.0
E16_E2S6_639,4083.0,2105.0
E16_E2S6_642,4082.0,2362.0
E16_E2S6_646,4081.0,3117.5
E16_E2S6_647,4083.0,2078.0
E16_E2S6_651,4080.0,2481.0
E16_E2S6_652,4077.0,2309.0
E16_E2S6_664,4079.0,2629.0
E16_E2S6_674,4074.0,2456.0
E16_E2S6_681,4077.0,2217.0
E16_E2S6_682,4073.0,2244.0
E16_E2S6_687,4070.0,2275.0
E16_E2S6_691,4068.0,3180.0
E16_E2S6_700,4067.0,2419.0
E16_E2S6_707,4068.0,3058.0
E16_E2S6_712,4068.0,2523.0
E16_E2S6_713,4068.0,2356.0
E16_E2S6_714,4066.0,2026.0
E16_E2S6_721,4065.0,2119.0
E16_E2S6_722,4071.0,2093.0
E16_E2S6_728,4062.0,2160.0
E16_E2S6_732,4060.0,2924.0
E16_E2S6_737,4059.0,3212.0
E16_E2S6_738,4073.0,2393.0
E16_E2S6_741,4062.0,2962.0
E16_E2S6_742,4061.0,2325.0
E16_E2S6_748,4061.0,2177.0
E16_E2S6_749,4060.0,1957.0
E16_E2S6_752,4055.0,3159.0
E16_E2S6_753,4058.0,2544.0
E16_E2S6_765,4055.0,2594.0
E16_E2S6_767,4046.0,2716.0
E16_E2S6_768,4049.0,2145.0
E16_E2S6_777,4054.0,2657.0
E16_E2S6_786,4048.0,3232.0
E16_E2S6_788,4050.0,2241.0
E16_E2S6_789,4041.0,1998.0
E16_E2S6_800,4036.0,3266.0
