Cell_ID,Embedding_1,Embedding_2,Embedding_3,Embedding_4,Embedding_5,Embedding_6,Embedding_7,Embedding_8,Embedding_9,Embedding_10,Embedding_11,Embedding_12,Embedding_13,Embedding_14,Embedding_15,Embedding_16,Embedding_17,Embedding_18,Embedding_19,Embedding_20,Embedding_21,Embedding_22,Embedding_23,Embedding_24,Embedding_25,Embedding_26,Embedding_27,Embedding_28,Embedding_29,Embedding_30,Embedding_31,Embedding_32,Embedding_33,Embedding_34,Embedding_35,Embedding_36,Embedding_37,Embedding_38,Embedding_39,Embedding_40,Embedding_41,Embedding_42,Embedding_43,Embedding_44,Embedding_45,Embedding_46,Embedding_47,Embedding_48,Embedding_49,Embedding_50
0,-4.0079494,-2.1514485,0.28401423,-1.5507087,2.512131,-2.2765565,-0.8778709,-0.29568684,0.38259986,1.3216727,-1.4746021,0.15848258,0.14399685,0.4102917,0.1839318,-0.30631188,-0.15258048,0.1304126,-0.41505527,0.3126567,0.77832675,-0.41054136,-0.16944054,-0.44477352,0.601,-0.40794888,-0.255776,0.33009252,-0.5009062,0.13752659,-0.055104382,-0.19443467,-0.79796666,-0.2722567,0.31935716,-0.48112592,-0.005670753,-0.23405951,0.32508928,-0.8796104,-0.7294968,0.7368194,0.73994595,-0.6927799,0.36685485,0.007158767,0.100940764,0.042276572,-0.5643716,0.09962122
1,-3.8402984,-3.7229002,1.0682951,-0.17430584,-1.8173602,1.6227082,1.9471556,1.2197235,-0.98192495,0.07621859,-0.8386474,1.2957112,0.34177428,-0.911472,0.4399372,0.23695637,-0.22150458,0.68590736,-0.83063376,-0.2412353,0.24499674,0.04588466,0.31030667,0.16030282,-0.57518965,-0.25866577,0.13900763,-0.19775906,-0.6051058,0.004799398,0.1592311,0.33553553,-0.18780848,-0.0007907582,0.27690753,-0.1567308,0.43476135,-0.2826373,-0.45106137,0.028512767,0.42227957,-0.03814446,0.8842851,-0.44993,-0.02532278,0.53086275,-0.2781353,0.030594798,-0.44847986,0.06987266
2,-2.6960065,-3.5605245,-0.08673277,-0.40081388,-1.426133,1.7209828,1.6890901,0.4010734,-1.4980421,0.8557617,-1.3691593,-0.113620654,0.782265,-0.35795572,1.0031364,0.4816581,-0.2868512,0.0952508,0.82732797,-0.07152402,-0.45750988,-0.7108039,0.54085803,0.73587745,-1.3384836,-0.9076269,0.117199816,0.73536944,-0.6543945,-0.775082,-0.60140437,-1.1114248,0.047984328,1.1158592,0.85130984,-0.9592673,0.6953238,0.15148565,-0.64986414,0.40334976,0.24567945,-0.82036114,-0.5033789,0.49262047,0.10022833,-0.56387246,0.10861048,0.95149523,-0.124514766,-1.3571364
3,-1.1572087,5.7032337,-2.0123413,1.2575223,-1.4130448,-0.0883282,0.25851506,0.28520346,0.36125332,0.7566613,-1.5485113,0.3035689,0.6017619,1.278724,-1.4414426,-0.31029132,0.065703124,-0.27856115,0.5492325,-0.68389505,0.31308663,0.763506,0.12845655,0.01641707,2.9126687,1.5324693,1.1781957,1.1665794,-0.3775844,-0.5357504,-0.6486107,-0.40685812,0.7629953,0.45698878,0.21266991,0.42437515,0.69959474,0.6978525,-0.13520496,-0.21482177,-0.6494484,0.5792622,-0.059877716,-0.15099144,-0.4532607,0.06901227,0.78906405,0.66381186,-0.56662816,0.061554953
4,-1.6130269,3.9850354,-0.65726703,0.22728871,0.45550844,1.8191291,0.42509887,-1.0773479,4.364393,-0.9186111,4.2692647,1.0368003,-0.623125,-0.253852,2.0806806,1.1073246,-1.1614044,-0.27744222,0.16941522,-0.19439296,0.8427426,0.7264798,-0.5846155,-0.116032034,-0.37026602,-0.82422197,0.10194069,0.3602918,-0.4169,-0.008463624,0.8317387,-0.4783952,0.8402715,0.59263456,0.52619135,-0.6568256,-0.12930179,-0.20022452,-0.92386425,1.1155179,0.8487819,-0.66750497,-0.73237383,-0.36101967,0.13497649,-0.8457797,-0.3718384,0.6372688,0.6962241,0.42649266
5,4.753796,-0.48797444,-0.22082661,1.8646688,0.81691206,-2.0188758,-2.019911,5.0213237,-0.2625416,-1.8187861,-0.2696189,-1.1020494,-2.2093115,-0.041963574,0.67863613,-0.07564398,-0.62681025,1.2113901,-0.86976445,0.36656865,0.612234,0.59334046,-0.28482834,0.31633556,0.39562812,0.08168664,0.34312224,0.05597762,-0.079100855,-0.06882075,-0.4263008,-0.09338596,0.50792634,0.6256562,0.32686695,0.29594117,-0.7996847,-0.012405765,-0.2570806,-0.07406844,-0.12766892,-0.6202235,0.59716517,0.23950964,0.362305,0.037483618,-0.72192013,0.78379464,0.61972797,0.17953591
6,-1.491091,5.364716,-2.1560793,1.1188898,-1.5701408,-0.63180727,0.6463215,-0.08236197,-0.26708373,0.6310391,-0.8471081,0.3855969,1.1861422,0.5709115,-0.5726236,1.1780727,-1.8584825,-0.15290473,1.7236528,0.97098416,-0.5325821,0.51202637,0.980068,0.9929442,0.20055018,1.156993,1.280323,-0.14929204,-0.38815215,0.6809174,0.20531821,0.3311415,0.8448183,-0.73847574,-0.9194104,1.0599971,0.14453027,0.13746224,-0.5949202,0.28013277,-0.41362324,0.5453983,-0.53839344,-0.92781997,0.23092934,-0.031058908,0.12891984,0.05048884,0.7700149,0.003099582
7,-3.7620866,-0.56977135,0.3342043,-0.18709989,-1.256207,-0.047357034,-1.6602626,-0.9572542,-1.013086,-1.6575783,0.9067625,0.6478124,0.20273338,0.5063205,-0.31052247,0.65996486,1.9224703,-0.09008424,-0.9954912,-0.19532125,0.4647565,0.025493443,-0.33364785,0.5805813,-0.21393809,0.42282426,-0.5944324,-0.57180643,0.9213254,0.9385816,0.0047476995,0.43527693,0.04384025,0.598477,-0.042904273,0.019031245,-0.03183143,-0.3830578,0.25984174,0.18726446,-0.049024682,0.46089706,0.5939185,-0.19446313,-0.26157373,0.8625773,-0.42441854,0.7138348,-0.80021185,-0.78770083
8,-4.4313583,-3.118311,1.2622079,-0.25265384,-1.4268914,0.37845775,1.7084804,0.6974666,-0.43969554,-0.84529245,0.2858652,0.72232604,0.09644125,0.19721633,-0.31954688,0.13053174,-0.3607515,0.31590948,0.27629644,0.552197,-0.65334797,-0.3462657,0.20726766,0.6582687,-0.1787954,-0.055761546,-0.65116507,-0.52419174,0.33590624,0.09262812,-0.6880063,0.028715266,-0.26463732,0.25773725,-0.3325848,0.534626,-0.16368634,0.24672915,-0.4554645,0.65216064,0.28581816,-0.21854675,0.14697912,-0.32922733,-0.18708156,-0.07681922,-0.24308756,0.3401147,0.06336389,-0.44642055
9,-4.82448,-2.8863544,0.53778756,-1.587409,0.52572846,-1.3722796,0.7634399,0.33010745,0.031455725,0.4502126,-0.25380558,0.52817786,-0.7242364,0.20380591,-0.5614983,-0.20511685,0.5898853,0.36151272,0.25130042,-0.42606184,-0.32528123,-0.35240072,-0.61819184,0.528184,0.34317216,0.44690815,0.38711375,-0.38171452,0.5731191,-0.12751569,-0.44383642,-0.18887296,-0.9647211,-0.06585849,-0.67394584,0.6062787,-0.078388676,-0.69758034,-0.23180328,-0.014814497,-0.7718102,0.054949243,0.42003974,0.4355815,-0.30110002,0.0038331293,-0.5870939,-0.49419096,0.039307494,-0.17606436
