Cell_ID,Sample,Cell_Type,x,y
0,mouse1_slice221,L2/3 IT,140.9419965147972,-2678.142903059721
1,mouse1_slice221,L4/5 IT,490.1479862928391,-3128.267906665802
2,mouse1_slice221,L4/5 IT,610.4403833985328,-3286.204807677865
3,mouse1_slice221,L6 CT,-993.4454054728152,-3621.4629044234753
4,mouse1_slice221,L5 ET,-1210.4548550635575,-3070.8399032354355
5,mouse1_slice221,VLMC,-1269.205853649974,-2422.236804404855
6,mouse1_slice221,L6 CT,-1129.1449522078035,-3601.728454898298
7,mouse1_slice221,L6 IT,-96.27604877501726,-3534.4809065163136
8,mouse1_slice221,L2/3 IT,704.9719859361649,-3141.456906348467
9,mouse1_slice221,L2/3 IT,-329.41751323640347,-2710.228407099843
10,mouse1_slice221,Micro,-692.7390141189098,-2860.811903476715
11,mouse1_slice221,L6 CT,22.582998365163803,-3435.1860040932893
12,mouse1_slice221,other,529.8784853368998,-4499.457852546871
13,mouse1_slice221,Oligo,-415.6651159733534,-3787.999905228615
14,mouse1_slice221,L4/5 IT,-622.4340158104897,-3012.306904643774
15,mouse1_slice221,Pvalb,584.6509840190411,-3834.978904098272
16,mouse1_slice221,L4/5 IT,767.2109844386578,-3224.296904355288
17,mouse1_slice221,OPC,473.2529866993427,-4055.4763536050914
18,mouse1_slice221,L4/5 IT,-774.9100169539452,-3038.8920040041207
19,mouse1_slice221,L2/3 IT,-417.5290159285069,-2775.0289055407047
20,mouse1_slice221,L2/3 IT,584.3730340257287,-2867.7879033088684
21,mouse1_slice221,L2/3 IT,-1528.8179522156715,-2804.349904835224
22,mouse1_slice221,L4/5 IT,711.8498857706785,-3226.5968042999507
23,mouse1_slice221,Endo,-525.0030133426189,-3652.320803681016
24,mouse1_slice221,L6b,-244.1359152883291,-3798.1478049844495
25,mouse1_slice221,L6 IT,594.7934337750078,-3971.655355621874
26,mouse1_slice221,Peri,-625.4860157370567,-3898.471402570605
27,mouse1_slice221,L6 CT,123.17499694228172,-3499.600907355547
28,mouse1_slice221,L2/3 IT,233.2609029203653,-2853.083803662658
29,mouse1_slice221,Astro,-680.1440644219517,-3276.834903091192
30,mouse1_slice221,L2/3 IT,-1035.682904456556,-2806.2574047893286
31,mouse1_slice221,L6 CT,358.7198999017477,-3696.563902616501
32,mouse1_slice221,SMC,18.342898467183105,-2853.944903641939
33,mouse1_slice221,L6 CT,586.830983966589,-4079.565353025496
34,mouse1_slice221,L4/5 IT,326.99000066518784,-3060.4958034843207
35,mouse1_slice221,L6b,-1364.3628513604403,-3706.6859071850777
36,mouse1_slice221,L6 IT,-271.6039146274328,-3690.994002750516
37,mouse1_slice221,L4/5 IT,-645.3240152597427,-2901.1269073188305
38,mouse1_slice221,L5 IT,-176.2180169224739,-3403.4833548560737
39,mouse1_slice221,Oligo,7.322998732328415,-3954.645906031132
40,mouse1_slice221,L4/5 IT,383.7680992990733,-3045.660903841257
41,mouse1_slice221,L5 ET,348.3540001511574,-3357.0330059736966
42,mouse1_slice221,L6 CT,405.9059987664223,-3638.139904022217
43,mouse1_slice221,Astro,-1171.105856010318,-2563.7964558109643
44,mouse1_slice221,L5 ET,-520.8065134435892,-3249.034453760088
45,mouse1_slice221,L4/5 IT,-1494.3794030442834,-2846.80540381372
46,mouse1_slice221,Micro,20.83899840712548,-2627.1309042871
47,mouse1_slice221,Peri,201.53509505689144,-3707.44890716672
48,mouse1_slice221,L5 IT,-732.910963152349,-3211.9199546530845
49,mouse1_slice221,Peri,-338.7370130121708,-3288.711807617545
50,mouse1_slice221,Astro,-112.90399837493896,-4018.628904491663
51,mouse1_slice221,L6 CT,-1040.190054348111,-3563.9109058082104
