"Cell_ID","Sample","UMAP1","UMAP2","time","lineage","Cell_Type","r","theta","x","y"
"cell562","Simulation",3.14124657525681,6.6483449688293,0.325220883181319,1,"A",17.1084422103004,92.3872412927449,-0.712620793179217,17.0935943109785
"cell779","Simulation",3.08334781541489,6.59026381877437,0.457618697914295,1,"A",20.2942560376789,323.012102656066,16.210293008677,-12.2099643200013
"cell637","Simulation",3.03906299485825,6.70630643275753,0.459808983677067,1,"A",20.3427649376716,184.81805222109,-20.2708826660925,-1.70862554319835
"cell168","Simulation",2.9430718602147,6.65349290278926,0.49191905874759,1,"A",21.0410825024006,250.849126456305,-6.90267019982662,-19.8766269015962
"cell393","Simulation",3.05452515496872,6.53371474650875,0.49191905874759,1,"A",21.0410825024006,162.404762171209,-20.0566922092881,6.36052281614588
"cell957","Simulation",3.06723620309494,6.60712621119991,0.607247399538755,1,"A",23.3778240985957,141.391179291531,-18.2680025585863,14.5877600098289
"cell847","Simulation",2.93358351602219,6.76886317637935,0.796099578167778,1,"A",26.7673237427838,99.5400355104357,-4.43632881587192,26.3971325523903
"cell874","Simulation",3.05539299859665,6.64878127482906,0.796099578167778,1,"A",26.7673237427838,224.4709509518,-19.1013153196724,-18.7517832061233
"cell641","Simulation",2.99666740312241,6.54553697017208,0.870488118785433,1,"A",27.9899858325597,36.3286207616329,22.549641013584,16.5817066994137
"cell428","Simulation",3.13021041764878,6.50621602443233,2.08607636020337,1,"A",43.3297671835776,17.5650027953088,41.3095246949747,13.0763868732274
"cell172","Simulation",2.99895383729599,6.82166621593013,2.11395687789092,1,"A",43.6183584067744,132.614444056526,-29.532311848972,32.0999026004269
"cell719","Simulation",3.10491206063889,6.7677936306335,2.12651797809873,1,"A",43.7477562886242,104.489082125947,-10.9454924680206,42.3563734864231
"cell15","Simulation",2.80107452287339,6.50035855678096,3.97161400973507,1,"A",59.7867260247754,334.545790934935,53.9831724281793,-25.6957137155407
"cell508","Simulation",2.59921850576065,7.08479878810421,4.00551768250573,1,"A",60.0413683576179,141.873541558161,-47.2315423564506,37.069493129607
"cell147","Simulation",3.10572864427231,6.63242957499996,4.01266303548257,1,"A",60.0948977196427,321.70258987695,47.1627392410191,-37.2434257180775
"cell636","Simulation",3.03912784471177,6.64813945201412,4.05047070866428,1,"A",60.3773437457946,1.32166997529566,60.3612807874661,1.39263042280343
"cell250","Simulation",2.46412195577286,6.6840386143066,4.10849251241315,1,"A",60.808249943341,324.634939692914,49.5879662179183,-35.1948414905142
"cell970","Simulation",2.9018109024968,6.85837695506588,5.92223185120775,1,"A",73.0069083449435,346.040595313534,70.8507872661326,-17.6117747503254
"cell213","Simulation",2.46070291413926,7.12054440883175,5.93809083946041,1,"A",73.1045946265648,331.765597136691,64.4065773022293,-34.584310832028
"cell170","Simulation",3.07542206658982,6.5409197559692,6.04192190647283,1,"A",73.7409636214875,226.351381475106,-50.8985050814082,-53.3579600088254
"cell521","Simulation",2.95023681535386,6.89139363673702,6.08150726051317,1,"A",73.9821365902733,37.7113038673997,58.5274805542865,45.2536247656413
"cell668","Simulation",2.6132104577031,7.0794129124023,6.08581611524828,1,"A",74.0083407713175,306.965639619157,44.5038775209796,-59.132388665782
"cell819","Simulation",2.81088115586899,6.68277404216304,6.11889595939365,1,"A",74.2092067297198,82.8308421280235,9.26124691491791,73.6290409351854
"cell711","Simulation",3.03677012338303,6.57247445491329,6.13025795652075,1,"A",74.2780732172602,177.018025377765,-74.1774970175754,3.86407777823761
"cell958","Simulation",2.7132864178624,7.07979104426876,6.17924103657908,1,"A",74.5742377294007,121.868132986128,-39.3726670887066,63.3333247133217
"cell954","Simulation",2.69541694535874,7.10370681193843,6.21577931160796,1,"A",74.7943940442542,246.869297241792,-29.3814787966526,-68.781756913945
"cell897","Simulation",2.86440517320298,6.76081130412593,8.00903631574955,1,"A",84.9007225185663,245.563609292731,-35.1219648737048,-77.2954090977261
"cell617","Simulation",2.49900187863968,7.2016429653503,8.12728493364194,1,"A",85.5251801534364,349.848626526073,84.1863299906543,-15.0737614079037
"cell440","Simulation",2.90077402009629,6.5482005825378,8.1290924708291,1,"A",85.5346901774139,58.3799581881613,44.8444527611549,72.8365174915628
"cell249","Simulation",2.70830871476792,6.77271077540889,9.95118362602868,1,"A",94.6364901263028,183.887655939907,-94.4187229696042,-6.41638653877314
"cell310","Simulation",2.88276101960801,6.79333541301265,9.96500903775979,1,"A",94.7022076510564,206.913481391966,-84.4451109247117,-42.8664364613731
