"","x","y","r","lineage","ONTraC","DPT","monocle3","DPT_l1","monocle3_l1","TSCAN_l1","Slingshot_l1","DPT_l2","monocle3_l2","TSCAN_l2","Slingshot_l2"
"cell1",-476.760985155649,621.242026866547,783.098137471825,2,0.198480047605042,0.491082938189897,16.761602077352,NA,NA,NA,NA,0,4.54537766012283,74,2.1735223239516
"cell2",-342.389192508401,295.902747610105,452.535960106779,1,0.373479211432618,0.172004711955854,8.4089491190266,0.178677373513503,8.43587765730723,304,6.5906432502519,NA,NA,NA,NA
"cell3",696.133880190204,-134.755729724083,709.056757842516,1,0.225150919227836,2.3243231014642,15.7556981043856,2.14436639781876,15.8680636889417,14,12.5607306655517,NA,NA,NA,NA
"cell4",329.390581438591,-638.509923762744,718.465780593591,1,0.281173529998965,1.57991364970032,14.8228607514895,1.49178559601197,15.7250703087117,102,12.7270122450602,NA,NA,NA,NA
"cell5",610.332665898647,278.567348714846,670.899195731347,1,0.206336315840337,0.451571833397702,11.1681287559397,0.484782006736761,10.6306038927783,200,10.4000712609201,NA,NA,NA,NA
"cell6",740.656374381469,-100.955630881732,747.505119928038,1,0.198129014418199,0.164555971455581,7.11719675820364,0.139681684562817,7.64853050109686,NA,6.07764969435845,NA,NA,NA,NA
"cell7",473.278842176217,-347.712596767209,587.279245676413,1,0.269016913391177,1.63489266117665,15.9462494015169,1.53601072339844,16.3633541440279,101,12.8792718516853,NA,NA,NA,NA
"cell8",293.434864221603,-217.281971288297,365.123916756598,1,0.47055565040121,0.146505199150788,7.13226785730636,0.156193954395147,6.85320758915632,409,NA,NA,NA,NA,NA
"cell9",358.895335194958,-277.935712609643,453.931847272838,1,0.366340379472091,0.171303033749076,7.88825623402347,0.171154003849122,8.43593620112754,318,5.95669298405987,NA,NA,NA,NA
"cell10",-532.633358975395,371.496962906086,649.390705617087,1,0.214006453159571,0.710568042326611,11.869322235734,0.722371569105732,13.9857037159706,175,10.843023082589,NA,NA,NA,NA
"cell11",-39.8652756545792,183.865021227485,188.13714740582,1,0.76438207530249,0.0240203059141132,1.84635120034067,0.0289118816537949,2.06825523686008,695,NA,NA,NA,NA,NA
"cell12",-181.08572102956,-95.6776703899106,204.807848902419,2,0.678776274278785,0.513764256668449,14.0358790121902,NA,NA,NA,NA,0.0137866669086729,4.56498218382251,95,1.27747141477375
"cell13",125.083684552079,666.909064668726,678.53786090272,1,0.249874582147818,0.962802645340839,11.7855230575209,0.94295073744367,13.9857622597909,168,11.6591206074049,NA,NA,NA,NA
"cell14",-592.946627774043,74.9091637922108,597.659674236649,1,0.210166602874267,0.183240269523436,8.36690454163766,0.201494749910253,8.47841362454661,351,7.6597774040805,NA,NA,NA,NA
"cell15",53.9831724281793,-25.6957137155407,59.7867260247754,1,0.795844084577778,0.00801800216063043,0.00010185939695706,0.0204337149079991,0.15222193703407,576,NA,NA,NA,NA,NA
"cell16",55.8572559023112,357.41578707017,361.754167749213,1,0.489440986207054,0.144055424911505,6.44789639082967,0.153586870204201,6.87795504722653,450,6.75883891730866,NA,NA,NA,NA
"cell17",-522.00907240316,320.038846542604,612.305752845364,1,0.230705237634738,1.32154581128118,14.1934781954275,1.26019868394491,13.0790037515001,127,12.2273212960485,NA,NA,NA,NA
"cell18",-680.438814588425,233.533017367763,719.398811925203,2,0.24190163608626,0.513679028307178,16.972019078858,NA,NA,NA,NA,0.0158789577570296,3.32220636734408,73,1.21146408532453
"cell19",-205.404914295775,-132.264855307993,244.30548656651,1,0.675076587373339,0.0200690968614433,0.00010072762587976,0.0327605905172017,1.33017563436232,592,NA,NA,NA,NA,NA
"cell20",267.92492280548,122.202672125968,294.477940319898,1,0.568277433872516,0.0387015267157819,1.52001072293525,0.0520365705210602,2.19292282998535,533,NA,NA,NA,NA,NA
"cell21",-414.649887261983,30.9841610168785,415.805900920483,1,0.414175244200376,0.154801639595027,7.11719788997472,0.165239456906652,7.56567577387325,382,NA,NA,NA,NA,NA
"cell22",420.980212669416,-142.967104010804,444.594120843295,1,0.389104618259441,0.184577752445603,6.43624035964537,0.186826122008917,8.43599474494786,286,6.1655291582871,NA,NA,NA,NA
"cell23",535.35394362779,-58.0926524381895,538.496612083243,1,0.319892294995903,0.210873138604831,8.9907306784241,0.234299776416777,8.45794560665347,336,8.47866006107003,NA,NA,NA,NA
"cell24",50.0260632608335,-201.810038832283,207.918009751115,1,0.629213381982391,0.012342883217475,9.95958548024589e-05,0.0230951677223694,1.3857202384884,562,NA,NA,NA,NA,NA
"cell25",-55.0659921545225,-78.0231158665392,95.498010981828,2,0.741757795618811,0.528823576852949,18.3703206565519,NA,NA,NA,NA,0.0206811078656486,3.78642177662967,23,0.753394719499824
"cell26",-531.890851600409,-563.970877368182,775.223212072268,1,0.177837410193839,2.43294688528189,16.0846517707798,2.24259533918631,16.1700912626676,10,13.7944373887397,NA,NA,NA,NA
"cell27",-615.694547560451,504.972261294694,796.289369873004,1,0.180194609183689,0.178897737591447,5.4571661749659,0.190843187639653,7.64858904491717,257,6.69906542671452,NA,NA,NA,NA
"cell28",696.977965241344,1.89656623596753,696.980545636284,1,0.215633152023023,1.72087774870307,15.1933055964269,1.61060869679932,16.3139948270139,94,12.9079490123681,NA,NA,NA,NA
"cell29",543.799120001422,-593.144426901917,804.697330726978,1,0.185370258546854,2.34090886231205,17.1748852848171,2.15843978635135,17.4081891921932,21,13.376096619001,NA,NA,NA,NA
"cell30",315.307038525808,-323.340930412157,451.628039235514,1,0.39507542838507,0.165485858632,7.70397208347345,0.173981680663451,8.43605328876818,441,6.95840404941157,NA,NA,NA,NA
"cell31",-50.0371184717818,231.108576440493,236.463289601812,1,0.723511377476204,0.0137375884284429,0.00762685706246691,0.0148750321423924,1.65207498254323,650,NA,NA,NA,NA,NA
"cell32",441.531574005324,133.440828725194,461.255445078413,1,0.365724978596535,0.17947318749439,6.85535109655828,0.190186489894746,7.64864758873749,284,7.03335428246238,NA,NA,NA,NA
"cell33",44.3924428616479,-668.93082963997,670.402225403558,1,0.243259686157232,1.29261696423603,14.029470619254,1.23542541023042,14.7355304362087,123,11.4470829233434,NA,NA,NA,NA
"cell34",73.1737478667425,-561.617523204392,566.364405437966,1,0.242519693057562,1.42459431301321,13.7004561843897,1.34926866249357,14.183616443845,120,12.170757405129,NA,NA,NA,NA
"cell35",34.1609845521973,-282.827186534239,284.882765902833,1,0.677452723348242,0.0344618222918952,1.84635233211174,0.040734426948677,2.24650602767404,608,NA,NA,NA,NA,NA
"cell36",119.546107757682,-936.274307133141,943.87544203547,1,0.368170593023176,1.94498154851915,17.3164981363654,1.80832643092362,17.2194139191314,52,13.8121345654185,NA,NA,NA,NA
"cell37",628.009586788016,-613.545059557202,877.971287232507,1,0.174566397778854,0.46369352401207,12.1648787707237,0.49286851431629,12.1350112840111,189,9.70607604650594,NA,NA,NA,NA
"cell38",612.739553591458,-95.0508006423513,620.068073067958,1,0.258793800531436,0.20103262728312,8.45425111912474,0.222461771831223,8.63055666527894,334,7.95401040628637,NA,NA,NA,NA
"cell39",-366.904497542925,-251.228242863793,444.673521057478,1,0.417931615056898,0.179733880816947,10.2988426569457,0.184995336046412,7.64870613255781,258,6.39404653461097,NA,NA,NA,NA
