Cell_ID,Sample,Cell_Type,x,y
E12_E1S3_100034,E12_E1S3,Fibro,15940,18584
E12_E1S3_100035,E12_E1S3,Fibro,15942,18623
E12_E1S3_100191,E12_E1S3,Endo,15965,18619
E12_E1S3_100256,E12_E1S3,Fibro,15969,18717
E12_E1S3_100264,E12_E1S3,Fibro,15974,18692
E12_E1S3_100337,E12_E1S3,Endo,15974,18671
E12_E1S3_100346,E12_E1S3,Fibro,15989,18544
E12_E1S3_100461,E12_E1S3,Endo,15997,18676
E12_E1S3_100502,E12_E1S3,Endo,16015,18447
E12_E1S3_100532,E12_E1S3,Fibro,16014,18566
E12_E1S3_100550,E12_E1S3,Endo,16011,18715
E12_E1S3_100623,E12_E1S3,Endo,16023,18645
E12_E1S3_100635,E12_E1S3,Endo,16021,18686
E12_E1S3_100704,E12_E1S3,GABA,16037,18419
E12_E1S3_100709,E12_E1S3,Fibro,16034,18670
E12_E1S3_100729,E12_E1S3,GABA,16039,18474
E12_E1S3_100734,E12_E1S3,GABA,16042,18537
E12_E1S3_100746,E12_E1S3,Fibro,16041,18362
E12_E1S3_100795,E12_E1S3,Fibro,16047,18648
E12_E1S3_100804,E12_E1S3,GABA,16048,18497
E12_E1S3_100820,E12_E1S3,GluNeuB,16050,18515
E12_E1S3_100826,E12_E1S3,Ery,16049,18449
E12_E1S3_100841,E12_E1S3,RGC,16052,18427
E12_E1S3_100842,E12_E1S3,Fibro,16050,18863
E12_E1S3_100850,E12_E1S3,Endo,16055,18830
E12_E1S3_100852,E12_E1S3,GABA,16058,18626
E12_E1S3_100867,E12_E1S3,GluNeuB,16054,18483
E12_E1S3_100880,E12_E1S3,Fibro,16062,18682
E12_E1S3_100890,E12_E1S3,RGC,16056,18401
E12_E1S3_100891,E12_E1S3,Fibro,16058,18666
E12_E1S3_100892,E12_E1S3,Fibro,16060,18797
E12_E1S3_100901,E12_E1S3,RGC,16061,18594
E12_E1S3_100908,E12_E1S3,Fibro,16052,18724
E12_E1S3_100936,E12_E1S3,RGC,16064,18504
E12_E1S3_100950,E12_E1S3,Fibro,16061,18774
E12_E1S3_100961,E12_E1S3,RGC,16067,18570
E12_E1S3_100970,E12_E1S3,RGC,16064,18528
