Cell_ID,x,y
E16_E2S7_291152,28759.0,18531.0
E16_E2S7_291165,28759.0,17350.0
E16_E2S7_291300,28779.0,18489.0
E16_E2S7_291398,28782.0,17259.0
E16_E2S7_291435,28791.0,17278.0
E16_E2S7_291487,28793.0,18489.0
E16_E2S7_291503,28804.0,17227.0
E16_E2S7_291550,28808.0,17173.0
E16_E2S7_291585,28810.0,17254.0
E16_E2S7_291591,28815.0,18503.0
E16_E2S7_291633,28809.0,17199.0
E16_E2S7_291642,28816.0,18556.0
E16_E2S7_291681,28828.0,17215.0
E16_E2S7_291806,28834.0,18589.0
E16_E2S7_291944,28861.0,18488.0
E16_E2S7_291964,28866.0,17154.0
E16_E2S7_292010,28863.0,17113.0
E16_E2S7_292058,28875.0,18544.0
E16_E2S7_292106,28885.0,17276.0
E16_E2S7_292158,28886.0,18465.0
E16_E2S7_292159,28875.0,18571.0
E16_E2S7_292165,28887.0,18484.0
E16_E2S7_292191,28884.0,18518.0
E16_E2S7_292218,28895.0,17200.0
E16_E2S7_292236,28900.5,17151.0
E16_E2S7_292272,28896.0,17099.0
E16_E2S7_292273,28902.0,17345.0
E16_E2S7_292310,28895.0,18588.0
E16_E2S7_292327,28904.0,18538.0
E16_E2S7_292333,28908.0,17323.0
E16_E2S7_292345,28913.0,18178.0
E16_E2S7_292364,28914.0,18556.0
E16_E2S7_292375,28912.0,17234.0
E16_E2S7_292376,28911.0,17265.0
E16_E2S7_292377,28923.0,18138.0
E16_E2S7_292392,28919.0,18162.0
E16_E2S7_292408,28911.0,17074.0
E16_E2S7_292409,28930.0,17482.0
E16_E2S7_292424,28922.0,17397.0
E16_E2S7_292425,28922.0,18254.0
E16_E2S7_292435,28913.0,17185.0
E16_E2S7_292443,28924.0,17157.0
E16_E2S7_292445,28922.0,17094.5
E16_E2S7_292446,28919.0,17365.0
E16_E2S7_292452,28927.0,17337.0
E16_E2S7_292453,28930.0,18197.0
E16_E2S7_292466,28926.0,18216.0
E16_E2S7_292474,28929.0,17460.0
E16_E2S7_292482,28930.0,18109.0
E16_E2S7_292501,28933.0,17206.0
